image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,2009-05-29,Akash Vukoti,child prodigy and spelling competitor,television personality,,,,2020-05-29
,2006-05-29,Gukesh D,Indian chess player,chess player,,India,,2020-05-29
,2004-05-29,Noel Comia Jr.,Filipino singer,singer,,Philippines,Noel,2020-05-29
,2003-05-29,Priska Madelyn Nugroho,Indonesian female tennis player,tennis player,,Indonesia,Priska,2020-05-29
,2002-05-29,Sofie Lundgaard,Danish association football player,association football player,,Denmark,Sofie,2020-05-29
,2001-05-29,Andrew Torgashev,American figure skater,figure skater,,United States of America,Andrew,2020-05-29
,2001-05-29,Maryna Aleksiiva,Ukrainian synchronised swimmer,athlete,,Ukraine,,2020-05-29
,2001-05-29,Vladyslava Aleksiiva,Ukrainian synchronised swimmer,athlete,,Ukraine,,2020-05-29
,2001-05-29,Kearra Bastes-Jones,association football player,association football player,,,,2020-05-29
,2001-05-29,Loudmilla Bencheikh,French tennis player,tennis player,,France,,2020-05-29
,2001-05-29,Lewis Bradley,English footballer,association football player,,,Lewis,2020-05-29
,2000-05-29,Yuan Sijun,Chinese snooker player,snooker player,,People's Republic of China,,2020-05-29
,2000-05-29,Xia Yuting,badminton player,badminton player,,People's Republic of China,,2020-05-29
,2000-05-29,Vladislav Glinskiy,association football player,association football player,,Belarus,,2020-05-29
,2000-05-29,Attila Mocsi,association football player,association football player,,,,2020-05-29
,2000-05-29,Alex Hunt,English association football player,association football player,,,,2020-05-29
,2000-05-29,Sergej Grubac,association football player,association football player,,,,2020-05-29
,2000-05-29,Leon Klassen,Russian association football player,association football player,,Germany,,2020-05-29
,2000-05-29,Li Yuan,Chinese basketball player,basketball player,,People's Republic of China,,2020-05-29
,2000-05-29,Krisztián Kovács,Hungarian football player,association football player,,Hungary,Krisztián,2020-05-29
,2000-05-29,Paul Popoaia,Rugby union player (*2000) ♂,rugby union player,,,Paul,2020-05-29
,1999-05-29,Yūri Rukawa,Japanese child actor,child actor,,Japan,,2020-05-29
,1999-05-29,Habiba Mohamed Ahmed Alymohmed,Egyptian Squash player,squash player,,Egypt,,2020-05-29
,1999-05-29,Teetatch Ratanasritai,actor,actor,,,,2020-05-29
,1999-05-29,Eméric Kpegba,Swimmer (*1999) ♂,swimmer,,,,2020-05-29
,1999-05-29,Suraiya Azmin,cricketer,cricketer,,,,2020-05-29
,1999-05-29,Park Ji-hoon,South Korean singer and actor,singer actor,,South Korea,Ji-hoon,2020-05-29
,1999-05-29,Vitaliy Mykolenko,association football player,association football player,,Ukraine,Vitaliy,2020-05-29
,1999-05-29,Emily Gantriis,Danish swimmer,swimmer,,Denmark,Emily,2020-05-29
,1999-05-29,Robin Schoonbrood,Dutch association football player (1999-),association football player,,Kingdom of the Netherlands,Robin,2020-05-29
,1999-05-29,David Kopacz,Polish association football player,association football player,,Poland,David,2020-05-29
,1999-05-29,Tanishqa Bhosale,Indian person (*1999) ♀,,,India,,2020-05-29
,1999-05-29,Ismaël Aaneba,association football player,association football player,,France,,2020-05-29
,1999-05-29,Jean-Baptiste Gros,French rugby union player,rugby union player,,France,Jean-Baptiste,2020-05-29
,1999-05-29,Xavier Venâncio,Portuguese footballer,association football player,,,Xavier,2020-05-29
,1999-05-29,Nuno Macedo,Portuguese footballer,association football player,,,,2020-05-29
,1999-05-29,Miha Škedelj,Basketball player (*1999) ♂,basketball player,,,,2020-05-29
,1999-05-29,Patrick Bailey,Baseball player (*1999) ♂,baseball player,,,Patrick,2020-05-29
,1998-05-29,Gavyn Bailey,American singer-songwriter,singer-songwriter guitarist,,United States of America,Gavyn,2020-05-29
,1998-05-29,Andreea Munteanu,Romanian artistic gymnast,artistic gymnast,,Romania,Andreea,2020-05-29
,1998-05-29,Lee Duck-hee,South Korean tennis player,tennis player,,South Korea,,2020-05-29
,1998-05-29,Lucía Gil,Spanish singer and actress,singer actor,,Spain,Lucía,2020-05-29
,1998-05-29,Rodi Ferreira,Paraguayan association football player,association football player association football manager,,Paraguay,David,2020-05-29
,1998-05-29,Felix Passlack,German association football player,association football player,,Germany,Felix,2020-05-29
,1998-05-29,Matilda Algotsson,Swedish figure skater,figure skater,,,Matilda,2020-05-29
,1998-05-29,Markelle Fultz,American basketball player,basketball player,,United States of America,,2020-05-29
,1998-05-29,Arnel Jakupovic,Austrian association football player,association football player,,Austria,,2020-05-29
,1998-05-29,Aleksandr Sergeyev,Russian association football player,association football player,,Russia,,2020-05-29
,1998-05-29,Roman Shandruk,Ukrainian association football player,association football player,,Ukraine,Roman,2020-05-29
,1998-05-29,Sarah Elsworthy,Australian basketball player (1998-),basketball player,,Australia,Sarah,2020-05-29
,1998-05-29,Hetty van de Wouw,Kingdom of the Netherlands sport cyclist and track cyclist (*1998) ♀,sport cyclist track cyclist,,Kingdom of the Netherlands,,2020-05-29
,1998-05-29,Jakub Rezek,association football player,association football player,,,Jakub,2020-05-29
,1998-05-29,Shogo Sakakura,baseball player (1998-),baseball player,,Japan,,2020-05-29
,1998-05-29,Clément Champoussin,French bicycle racer,sport cyclist,,France,Clément,2020-05-29
,1998-05-29,Tahlia Randall,Australian rules footballer,Australian rules football player,,,Tahlia,2020-05-29
,1998-05-29,Luka Loczoszwili,association football player,association football player,,,Luka,2020-05-29
,1998-05-29,Dmytro Kopytov,association football player,association football player,,Ukraine,,2020-05-29
,1998-05-29,Eveliina Summanen,Finnish association football player,association football player,,Finland,Eveliina,2020-05-29
,1998-05-29,Akhmed Alibekov,association football player,association football player,,Ukraine,,2020-05-29
,1998-05-29,Greg Dortch,American football wide receiver,American football player,,,Greg,2020-05-29
,1998-05-29,Laura Riedemann,German swimmer,swimmer,,,Laura,2020-05-29
,1998-05-29 1998-03-13,Oliver Stokes,British actor,actor television actor,,United Kingdom,Oliver,2020-05-29
,1998-05-29,Tira Patterson,Rugby union player (*1998) ♂,rugby union player,,,,2020-05-29
,1998-05-29,Manolis Kragiopoulos,association football player (*1998),association football player,,,,2020-05-29
,1997-05-29,Anastasiya Serdyukova,Uzbekistani rhythmic gymnast,rhythmic gymnast,,,Anastasia Anastasiya,2020-05-29
,1997-05-29,Alexander Pronkov,Russian alpine skier,cross-country skier,,Russia,Alexander,2020-05-29
,1997-05-29,Mauriel Carty,Anguillan athletics competitor and sprinter,athletics competitor sprinter,,Anguilla United Kingdom,,2020-05-29
,1997-05-29 1995-05-29,Carlos Magno,East Timorese association football player,association football player,,East Timor,Carlos,2020-05-29
,1997-05-29,Fumnaya Shomotun,association football player,association football player,,Nigeria,,2020-05-29
,1997-05-29,Yuki Suzuki,Japanese volleyball player,volleyball player,,Japan,,2020-05-29
,1997-05-29,Monica Rokhman,American rythmic gymnast,rhythmic gymnast,,United States of America,Monica,2020-05-29
,1997-05-29,Jan Kokla,association football player,association football player,,Estonia,Jan,2020-05-29
,1997-05-29,Colette Kaminski,Figure skater (*1997) ♀,figure skater,,,Colette,2020-05-29
,1997-05-29,Oleg Garapuchik,association football player,association football player,,Belarus,Oleg,2020-05-29
,1997-05-29,Amanda-Jade Wellington,cricketer,cricketer,,Australia,,2020-05-29
,1997-05-29,Frank Sturing,association football player,association football player,,Kingdom of the Netherlands,Frank,2020-05-29
,1997-05-29,Alejandro Mayorga,Mexican association football player,association football player,,Mexico,Alejandro,2020-05-29
,1997-05-29,Augustin Meurmans,Belgian field hockey player (1997-),field hockey player,,Belgium,,2020-05-29
,1997-05-29,Mohd Hidhir Idris,association football player,association football player,,,,2020-05-29
,1997-05-29,Marcel Spears Jr.,American football linebacker,athlete,,,Marcel,2020-05-29
