image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1997-05-29,Sander van Looy,association football player,association football player,,Kingdom of the Netherlands,,2020-05-29
,1997-05-29,Night Lovell,Canadian rapper,musician,,Canada,,2020-05-29
,1997-05-29,Katie Poluta,tennis player (1997-),tennis player,,,Katie,2020-05-29
,1997-05-29,"Stefan Nikolić (basketball, born 1997)",Serbian basketball player,basketball player,,,Stefan,2020-05-29
,1997-05-29,Mikke Louhela,Finnish footballer,association football player,,Finland,Mikke,2020-05-29
,1997-05-29,Haider Al-Ameri,Saudi Arabian footballer,association football player,,,,2020-05-29
,1996-05-29,Natasha Farrant,English cricketer,cricketer,,United Kingdom,Natasha,2020-05-29
,1996-05-29,Kevin Elgestål,Swedish ice hockey player,ice hockey player,,Sweden,Kevin,2020-05-29
,1996-05-29,Stanley Johnson,American basketball player,basketball player,,United States of America,Stanley,2020-05-29
,1996-05-29,Holly Rose Emery,Fashion Model,model,,New Zealand,Holly,2020-05-29
,1996-05-29,Halvor Egner Granerud,Norwegian ski jumper,ski jumper,,Norway,Halvor,2020-05-29
,1996-05-29,Kush Kumar,Indian squash player,squash player,,India,,2020-05-29
,1996-05-29,Igor Obukhov,Russian association football player,association football player,,Russia,Igor,2020-05-29
,1996-05-29,George Byers,association football player,association football player,,United Kingdom,George William,2020-05-29
,1996-05-29,Dominik Ferenčič,Slovak footballer,association football player,,Slovakia,Dominik,2020-05-29
,1996-05-29,Niclas Grönholm,Finnish racing driver,racing automobile driver rally driver rallycross driver,,Finland,Niclas,2020-05-29
,1996-05-29,Tom Morrissey,Irish hurler,hurler,,Ireland,Tom Thomas,2020-05-29
,1996-05-29,Scott Shepherd,British association football player,association football player,,United Kingdom,Scott,2020-05-29
,1996-05-29,André Filipe Magalhães Ribeiro Ferreira,Portuguese association football player,association football player,,Portugal,André,2020-05-29
,1996-05-29,Johannes Schinnagel,cyclist,sport cyclist,,Germany,Johannes,2020-05-29
,1996-05-29,Tarik Evre,association football player,association football player,,Kingdom of the Netherlands,,2020-05-29
,1996-05-29,Jenna Dear,association football player,association football player,,United Kingdom,,2020-05-29
,1996-05-29,Merisa Cindy Sahputri,badminton player,badminton player,,Indonesia,,2020-05-29
,1996-05-29,Ian Escobar,soccer player,association football player,,Argentina,,2020-05-29
,1996-05-29,Chamika Karunaratne,cricketer,cricketer,,Sri Lanka,,2020-05-29
,1996-05-29,Anna Sixtová,Czech cross-country skier,cross-country skier,,Czech Republic,Anna,2020-05-29
,1996-05-29,Maggie Barrie,Sierra Leonean sprinter,sprinter,,Sierra Leone,Maggie,2020-05-29
,1996-05-29,Lim Hyojun,South Korean short track speed skater,short track speed skater,,South Korea,Hyo-jun,2020-05-29
,1996-05-29,India Sherret,Canadian freestyle skier (*1996) ♀,freestyle skier,,Canada,,2020-05-29
,1996-05-29,Julien Dacosta,association football player,association football player,,,,2020-05-29
,1996-05-29,R.F. Kuang,Chinese-American fantasy writer,writer,,,Rebecca,2020-05-29
,1996-05-29,Franco Pizzicanella,association football player (*1996) ♂,association football player,,,Franco,2020-05-29
,1996-05-29,Bobby Bradley,Baseball player,baseball player,,United States of America,Bobby,2020-05-29
,1996-05-29,Michalis Iliadis,association football player (*1996),association football player,,,,2020-05-29
,1995-05-29,Kōnosuke Takeshita,Japanese professional wrestler,professional wrestler,,Japan,Kōnosuke,2020-05-29
,1995-05-29 1995-04-29,Cláudio Filipe Maia Ribeiro,Footballer,association football player,,Portugal,Cláudio,2020-05-29
,1995-05-29,José Escalante,Honduran footballer,association football player association football manager,,Honduras,José Alberto,2020-05-29
,1995-05-29,Wang Na,Chinese female racewalker,athletics competitor racewalker,,People's Republic of China,Na,2020-05-29
,1995-05-29,Tai Webster,New Zealand basketball player,basketball player,,New Zealand,,2020-05-29
,1995-05-29,Nick Holman,Australian rules footballer,Australian rules football player,,Australia,Nick,2020-05-29
,1995-05-29,Ghoutia Karchouni,French association football player,association football player,,France,,2020-05-29
,1995-05-29,Jordan Levasseur,French bicycle racer and track cyclist,sport cyclist track cyclist,,France,Jordan,2020-05-29
,1995-05-29,Nicolas Pépé,Ivorian association football player,association football player,,France,Nicolas,2020-05-29
,1995-05-29 1994-05-29,Airton Moraes,Brazilian association football player,association football player,,Brazil,Airton,2020-05-29
,1995-05-29,Xu Jun,association football player,association football player,,People's Republic of China,,2020-05-29
,1995-05-29,Jin Mengqing,Chinese handball player,handball player,,People's Republic of China,,2020-05-29
,1995-05-29,Craig Halkett,Scottish footballer,association football player,,United Kingdom,Craig,2020-05-29
,1995-05-29,Pedrya Seymour,Bahamian female hurdler,hurdler,,The Bahamas,,2020-05-29
,1995-05-29,Imelda Schweighart,Philippines beauty pageant contestant (*1995) ♀,beauty pageant contestant,,Philippines,,2020-05-29
,1995-05-29,Dženan Bureković,Bosnian-Herzegovinian footballer,association football player,,Bosnia and Herzegovina,,2020-05-29
,1995-05-29,Natalia Rogova,badminton player,badminton player,,Russia,Natalia,2020-05-29
,1995-05-29,Bohdan Hrynenko,Ukrainian Paralympic swimmer,athlete,,,,2020-05-29
,1995-05-29,Brendon Lucas da Silva Estevam,association football player,association football player,,Brazil,,2020-05-29
,1995-05-29,Quincy Adeboyo,American-football player (1995-),American football player,,,,2020-05-29
,1995-05-29,Dallas Willsmore,Australian rules footballer,Australian rules football player,,Australia,Dallas,2020-05-29
,1995-05-29,Vlado Matanović,Croatian handball player,handball player,,Croatia,,2020-05-29
,1995-05-29,Jianjun Xu,association football player,association football player,,People's Republic of China,,2020-05-29
,1995-05-29,Jitesh Singh Deo,"Indian actor , model , and television actor (*1995) ♂",actor model television actor,,India,,2020-05-29
,1995-05-29,Rajbek Bisultanov,Danish Greco-Roman wrestler,amateur wrestler,,Denmark,,2020-05-29
,1995-05-29,Brice Loubet,French pentathlete (*1995) ♂,pentathlete,,France,Brice,2020-05-29
,1995-05-29,Ruan Gregório Teixeira,Brazilian association football player,association football player,,Brazil,,2020-05-29
,1995-05-29,Jordan Ju,Taiwanese figure skater,figure skater,,,Jordan,2020-05-29
,1995-05-29,Larry Bwayla,association football player (*1995) ♂,association football player,,,,2020-05-29
,1994-05-29,Paloma Kwiatkowski,Canadian actress,actor film actor,,Canada,Paloma,2020-05-29
,1994-05-29,Saku Mäenalanen,Finnish ice hockey player,ice hockey player,,Finland,Saku,2020-05-29
,1994-05-29,Mark Percival,English rugby league footballer,rugby league player,,,Mark,2020-05-29
,1994 1994-05-29,Lorelei Linklater,American actress,actor film actor,,United States of America,Lorelei,2020-05-29
,1994-05-29,Dejan Todorović,Serbian basketball player,basketball player,,Serbia,Dejan,2020-05-29
,1994-05-29,Jeremi Kimmakon,French footballer,association football player,,France,Jeremi,2020-05-29
,1994-05-29,Iryna Romoldanova,Ukrainian taekwondo practitioner,taekwondo athlete,,Ukraine,Iryna,2020-05-29
,1994-05-29,Dmitri Zhivoglyadov,Russian association football player,association football player,,Russia,Dmitri,2020-05-29
,1994-05-29,Dan Feeney,American football player,American football player,,United States of America,,2020-05-29
,1994-05-29,Christian Harrison,US tennis player,tennis player,,United States of America,Christian,2020-05-29
,1994-05-29,Yung Swiss,singer-songwriter (*1994) ♂,singer-songwriter,,,,2020-05-29
,1994-05-29,Jack Gosiewski,Australian rugby league footballer,rugby league player,,,Jack,2020-05-29
,1994-05-29,Iris Sachet,French racing cyclist,sport cyclist,,France,Iris,2020-05-29
,1994-04-29 1994-05-29,Marcelo Machado dos Santos,Brazilian association football player,association football player,,Brazil,Marcelo,2020-05-29
,1994-05-29,Robbie Perkins,Australian baseball player (1994-),baseball player,,Australia,Robbie,2020-05-29
,1994-05-29,Tom Schwarz,boxer,boxer,,,Tom,2020-05-29
,1994-05-29,Mailson Lima Duarte Lopes,Cape Verdean Dutch association football player,association football player,,Kingdom of the Netherlands Cape Verde,,2020-05-29
,1994-05-29,Amur Kalmykov,Russian association football player,association football player,,,,2020-05-29
,1994-05-29,Scott Dale,English darts player,darts player,,England,Scott,2020-05-29
,1994-05-29,Aurélien Ngeyitala,Congolese footballer,association football player,,Democratic Republic of the Congo,Aurélien,2020-05-29
,1994-05-29,Alice Davidson-Richards,English cricketer,cricketer,,United Kingdom,Alice,2020-05-29
,1994-05-29,Estellah Fils Rabetsara,Malagasy swimmer,swimmer,,,,2020-05-29
,1994-05-29,George Atkinson,British mountain climber,mountaineer,,English people,George,2020-05-29
,1994-05-29,Jake Neade,Australian rules footballer,Australian rules football player,,,Jake,2020-05-29
,1994-05-29,Oliver Wynne-Griffith,British rower,rower,,United Kingdom,Oliver,2020-05-29
,1994-05-29,Chuck Yiu Kwok,association football player,association football player association football manager,,People's Republic of China,,2020-05-29
,1994-05-29,Assad Al Hanini,Martial artist (*1994) ♂,martial artist,,,,2020-05-29
,1993-05-29,Paulina Schmiedel,German swimmer,swimmer,,Germany,Paulina,2020-05-29
,1993-05-29,Leyla Güngör,Turkish women's footballer,association football player,,Turkey,Leyla,2020-05-29
,1993-05-29,Paulo Victor de Menezes Melo,Brazilian football player born 1993,association football player,,Brazil,Paulo,2020-05-29
,1993-05-29,Hjörvar Steinn Grétarsson,Icelandic chess player,chess player,,Iceland,Hjörvar,2020-05-29
,1993-05-29,Miloš Malivojević,association football player,association football player,,Italy,Miloš,2020-05-29
,1993-05-29,Maika Monroe,American actress,kitesurfer actor film actor television actor,,United States of America,,2020-05-29
,1993-05-29,Richard Carapaz,Ecuadorian bicycle racer,sport cyclist,,Ecuador,Richard Wagner,2020-05-29
,1993-05-29,Aleksi Kirjonen,Paralympic athlete of  Finland,athletics competitor javelin thrower,,Finland,Aleksi,2020-05-29
,1993-05-29,Jessica Bade,German association football player,association football player,,Germany,Jessica,2020-05-29
,1993-05-29,Cierra Kaler-Jones,Miss New Jersey,beauty pageant contestant,,United States of America,,2020-05-29
,1993-05-29,Grant Kay,Baseball player (*1993) ♂,baseball player,,,Grant,2020-05-29
,1993-05-29,Mikhail Gorelishvili,Russian association football player,association football player,,Russia,Mikhail,2020-05-29
,1993-05-29,Millicent Wiranto,badminton player,badminton player,,Indonesia,Millicent,2020-05-29
,1993-05-29,Lisa Phillips,bowls player,bowls player,,Australia,Lisa,2020-05-29
,1993-05-29,Allan Zebie,French-born Canadian association football player,association football player,,France,Allan,2020-05-29
,1993-05-29,Roman Ferber,Belgian association football player,association football player,,Belgium,Roman,2020-05-29
,1993-05-29,Amanda Pelkey,American ice hockey player (1993-),ice hockey player,,United States of America,Amanda,2020-05-29
,1993-05-29,B. J. Goodson,American football player,American football player,,United States of America,,2020-05-29
,1993-05-29,Shakhzodbek Sabirov,judoka,judoka,,,,2020-05-29
,1993-05-29,Jana Čepelová,Slovak female tennis player,tennis player,,Slovakia,Jana,2020-05-29
,1993-05-29,Luke Davenport,British racing driver (*1993) ♂,racing driver,,United Kingdom,Luke,2020-05-29
,1993-05-29,Sneh Rana,Sports shooter,sport shooter,,Nepal,,2020-05-29
,1993-05-29,Ethan Pinnock,English association football player,association football player,,United Kingdom,Ethan,2020-05-29
,1993-05-29,Grete Šadeiko,Estonian heptathlete,athletics competitor,,Estonia,Grete,2020-05-29
,1993-05-29,Wessel Keemink,volleyball player,volleyball player,,Kingdom of the Netherlands,,2020-05-29
,1993-05-29,Connor Wood,basketball player (1993-),basketball player,,Canadians,,2020-05-29
,1993-05-29,K. Prapanjan,Indian kabaddi player,Kabaddi player,,India,,2020-05-29
,1993-05-29,Brad McKenzie,Australian rules footballer,Australian rules football player,,,Brad,2020-05-29
,1993-05-29,Carolina Gillespie,Italian pair skater,figure skater,,Italy,Carolina,2020-05-29
,1993-05-29,Florian Hartherz,German footballer,association football player,,Germany,Florian,2020-05-29
,1993-05-29,Kevin Windham Jr.,Missouri politician,politician,Member of the Missouri House of Representatives,,Kevin,2020-05-29
,1993-05-29,Manda Cingi,Indonesia Footballer,association football player,,,Manda,2020-05-29
,1993-05-29,Patricio Spada,Argentine professional footballer,association football player,,Argentina,Patricio,2020-05-29
,1993-05-29 1993-04-29,Thomas Weber,Austrian footballer,association football player,,Austria,Thomas,2020-05-29
,1993-05-29,Oleh Bilyi,Ukrainian association football player,association football player,,Ukraine,Oleg,2020-05-29
,1993-05-29,Tomáš Pavelka,Czech ice hockey defenceman,ice hockey player,,,Tomáš,2020-05-29
,1993-05-29,Crimsix,American esports competitor,pro gamer,,United States of America,,2020-05-29
,1992-06-06 1993-05-29,Koichi Aparicio,Footballer,association football player,,Peru,,2020-05-29
,1993-05-29,Veronika Gotseva,association football player (*1993) ♀,association football player,,,,2020-05-29
,1993-05-29,Suzanna Ribalko,association football player (*1993) ♀,association football player,,,,2020-05-29
,1992-05-29,Koya Tanio,Japanese association football player,association football player,,Japan,,2020-05-29
,1992-05-29,Han Groo,South Korean actress and singer,singer actor,,South Korea,Q69515145,2020-05-29
,1992-05-29,Amanda Frisbie,Association footballer,association football player,,United States of America,Amanda,2020-05-29
,1992-05-29,Phil Lane,American ice hockey player,ice hockey player,,United States of America,Phil,2020-05-29
,1992-05-29,Patrick Brown,American professional ice hockey forward,ice hockey player,,United States of America,Patrick,2020-05-29
,1992-05-29,Lander Seynaeve,cyclist,sport cyclist,,Belgium,Lander,2020-05-29
,1992-05-29,Alessandro Tonelli,Italian bicycle racer,sport cyclist,,Italy,Alessandro,2020-05-29
,1992-05-29,Cory McGee,American middle-distance runner,athletics competitor,,United States of America,Cory,2020-05-29
,1992-05-29,Bud Sasser,American football wide receiver,American football player,,,Bud,2020-05-29
,1992-05-29,Erica Lindbeck,American voice actress,actor voice actor,,United States of America,Erica,2020-05-29
,1992-05-29,Kei Munechika,Japanese association football player,association football player,,Japan,,2020-05-29
,1992-05-29,Ben Malena,American-football player (1992-),American football player Canadian football player,,,,2020-05-29
,1992-05-29,Adam Ballou,US association football player,association football player,,United States of America,Adam,2020-05-29
,1992-05-29 1992-09-29,Ali Dere,Turkish footballer,association football player,,Turkey,Ali,2020-05-29
,1992,Safia Nolin,Canadian singer-songwriter,singer-songwriter,,Canada,Safia,2020-05-29
,1992-05-29,Johanna Acs,German model,beauty pageant contestant,,,Johanna,2020-05-29
,1992-05-29,Ahn Seul-ki,South Korean female long-distance runner,long-distance runner marathon runner,,South Korea,Seul-ki,2020-05-29
,1992-05-29,Pell,Person (*1992) ♂,,,,,2020-05-29
,1992-05-29,Anastasiya Chernyavskaya,badminton player,badminton player,,Belarus,Anastasia,2020-05-29
,1992-05-29,"Hammy McMillan, Jr.",Scottis male curler,curler,,Scotland,,2020-05-29
,1992-05-29,Celeste Brown,ice hockey player (1992-),ice hockey player,,,,2020-05-29
,1992-05-29,Gregg Sulkin,English actor,actor film actor television actor,,United Kingdom,Gregg,2020-05-29
,1992-05-29,Freddy Mveng,Cameroonian footballer,association football player,,Cameroon,Freddy,2020-05-29
,1992-05-29,Roxana Szölösi,handball player,handball player,,,,2020-05-29
,1992-05-29,Nika Kvekveskiri,Georgian association football player,association football player,,Georgia,Nika,2020-05-29
,1992-05-29,D. J. Snelten,baseball player (1992-),baseball player,,,,2020-05-29
,1992-05-29,Aaron Berzel,German association football player,association football player,,Germany,Aaron,2020-05-29
,1992-05-29,Aleksandar Filipović,Serbian rower,rower,,Serbia,Aleksandar,2020-05-29
,1992-05-29,Eva Llamas,Association footballer,association football player,,Spain,Eva,2020-05-29
,1992-05-29,Kirsty Barton,English football midfielder,association football player,,United Kingdom,,2020-05-29
,1992-05-29,Manuela Lareo,Spanish footballer,association football player,,Spain,Manuela,2020-05-29
,1992-05-29,Marta Luna,Footballer,association football player,,Spain,Marta,2020-05-29
,1992-05-29,Melsahn Basabe,American basketball player,basketball player,,United States of America,,2020-05-29
,1992-05-29,Nikhil Chavan,Indian Actor,actor,,,,2020-05-29
,1992-05-29,Sarah Moundir,Swiss tennis player,tennis player,,Switzerland,Sarah,2020-05-29
,1991-05-29,Saori Hayami,Japanese voice actress and singer,seiyū singer actor radio personality,,Japan,Saori,2020-05-29
,1991-05-29,Luca Braidot,bicycle racer,sport cyclist,,Italy,Luca,2020-05-29
,1991-05-29,Johan Brunell,Finnish association football player,association football player,,Finland,Johan,2020-05-29
,1991-05-29,Arijan Ademi,Macedonian footballer,association football player,,Croatia,Arijan,2020-05-29
,1991-05-29,Rumana Ahmed,Bangladeshi women cricketer,cricketer,,Bangladesh,,2020-05-29
,1991-05-29,Shukhtara Rahman,Bangladeshi female cricketer,cricketer,,Bangladesh,,2020-05-29
,1991-05-29,Darren Wang,Taiwanese actor,actor television actor,,Taiwan,Darren,2020-05-29
,1991-05-29,Ankita Makwana,Swiss model,motivational speaker actor model,,India,Ankita,2020-05-29
,1991-05-29,Casey Prather,American basketball player,basketball player,,United States of America,Casey,2020-05-29
,1991-05-29,Jesse Camacho,Canadian actor,actor television actor,,Canada,Jesse,2020-05-29
,1991-05-29,Seamus Kelly,American rugby union players,rugby union player,,United States of America,Seamus,2020-05-29
,1991-05-29,Steven Matz,American baseball player,baseball player,,United States of America,Steven,2020-05-29
,1991-05-29,Kent Håvard Eriksen,Norwegian association football player,association football player,,Norway,Kent,2020-05-29
,1991-05-29,Daiki Matsumoto,Japanese association football player,association football player,,Japan,Daiki,2020-05-29
,1991-05-29,Marcus Dahlin,Swedish handball player,handball player,,Sweden,Marcus,2020-05-29
,1991-05-29,Filip Pjević,Serbian footballer,association football player,,Serbia,Filip,2020-05-29
,1991-05-29,Erhun Oztumer,English association football player,association football player,,United Kingdom,Erhun,2020-05-29
,1991-05-29,Garrett Grayson,American football player,American football player,,United States of America,Garrett,2020-05-29
,1991-05-29,Brecht Dejaegere,Belgian association football player,association football player,,Belgium,Brecht,2020-05-29
,1991-05-29,Stephanie de Groof,Belgian field hockey player,field hockey player,,Belgium,Stephanie,2020-05-29
,1991-05-29,Kim de Baat,cyclist,sport cyclist,,Kingdom of the Netherlands Belgium,Kim,2020-05-29
,1991-05-29,Márcia Fernandes,cyclist,sport cyclist,,Brazil,Márcia,2020-05-29
,1991-05-29,Amer Dupovac,association football player,association football player,,Bosnia and Herzegovina,,2020-05-29
,1991-05-29,Nanna Vainio,badminton player,badminton player,,Finland,Nanna,2020-05-29
,1991-05-29,Matoma,Norwegian DJ,record producer composer musician,,Norway,,2020-05-29
,1991-05-29,Hunter G. K. Thompson,American Christian musician,songwriter,,United States of America,Hunter,2020-05-29
,1991-05-29,Njisane Phillip,Trinidad and Tobago cyclist,sport cyclist,,Trinidad and Tobago,,2020-05-29
,1991-05-29,Dominique Bouchard,Canadian swimmer,swimmer,,Canada,Dominique,2020-05-29
,1991-05-29,Oskar Eriksson,Swedish curler,curler,,Sweden,Oskar,2020-05-29
,1991-05-29,Alena Hanušová,Czech basketball player and olympionic,basketball player,,Czech Republic,Alena,2020-05-29
,1991-05-29,Alex Tillman,American-football player (1991-),American football player Canadian football player,,,Alex,2020-05-29
,1991-05-29,Nick Wittgren,baseball player (1991-),baseball player,,,Nick,2020-05-29
,1991-05-29,Rustam Ibrayev,Kazakhstani judoka,judoka,,Kazakhstan,Rustam,2020-05-29
,1991-05-29,Sergi Guardiola,Spanish association football player,association football player,,Spain,Sergi Sergio,2020-05-29
,1991-05-29,Tom Ljungman,Swedish actor,actor,,Sweden,Tom,2020-05-29
,1991-05-29,Karen Duggan,Irish footballer,association football player,,Ireland,Karen,2020-05-29
,1991-05-29,Iván Salgado López,Spanish chess player,chess player,,Spain,Ivan,2020-05-29
,1991-05-29,Ri Jin-sim,North Korean footballer,association football player,,North Korea,,2020-05-29
,1991-05-29,Andrea Fedi,cyclist,sport cyclist,,Italy,Andrea,2020-05-29
,1991-05-29,Noh Seung-yul,professional golfer,golfer,,South Korea,,2020-05-29
,1991-05-29,Jonathan Robertson,Dutch footballer,association football player,,Kingdom of the Netherlands,Jonathan,2020-05-29
,1991-05-29,Layes Abdullayeva,Track and field athlete,athletics competitor,,Azerbaijan,,2020-05-29
,1991-05-29,Carlos Alfaro Alcántara,Chilean footballer,association football player association football manager,,Chile,Carlos,2020-05-29
,1991-05-29,Conor McGrath,Irish hurler,hurler,,Ireland,Conor,2020-05-29
,1991-05-29,Dan Wells,racecar driver,racing driver racing automobile driver,,United Kingdom,Dan,2020-05-29
,1991-05-29,William van Wyk,South African rugby union footballer (1991-),rugby union player,,,William,2020-05-29
